CommonName;Latitude;Longitude;Wine;Vintage;Origin;TastingNotes;Alcohol;RS;pH;TA;VA;TSO2;FSO2;MainVariety;WineType;WineStyle;WineBody;WineTaste;Wooded
Fairview Wine & Cheese;-33,77241898;18,92377472;Fairview Cyril Back 2013;2013;Paarl;"Intense dark garnet colour with blueberry, plum, anise and nutmeg on the nose. This elegant red brims with pepper and spice flavours and finishes with fine ageworthy tannings.
Aging potential 7 to 10 year in bottle
";14.0;2.7;3.61;5.4;;;;Shiraz;Red;Dry;Full;Fruity;
Fairview Wine & Cheese;-33,77241898;18,92377472;Fairview Paarl Chenin Blanc 2015;2015;Paarl;"Colour: Vibrant light green 
Aromas: Fragrant citrus and tropical fruit 
Food pairing ideas: Salads, especially those containing cold meats and a bit of fruit. The wine can also handle spicy food such as traditional Cape Malay dishes. &quot;";13.0%;3.3;3.27;5.9;;;;Chenin Blanc;White;Dry;Medium;Fruity;
Fairview Wine & Cheese;-33,77241898;18,92377472;Fairview Chardonnay 2015;2015;Coastal Region;"Colour: Pale yellow 
Aromas: Delicate oak and jasmine blossoms 
Flavour: Soft spice and lingering citrus
Food pairing ideas: Bone dry, this Chardonnay pairs well with fresh fish, even tuna, salmon or simply on its own.
";13.5;1.6;3.46;6.2;;;;Chardonnay;White;Dry;Medium;Fruity;
Fairview Wine & Cheese;-33,77241898;18,92377472;Fairview Viognier 2015;2015;Paarl;"Colour: Bright light green
Aromas: Stonefruit and honeysuckle
Flavour: Spice and lingering fruit
Food pairing ideas: A Malay curry with delicate spice and dried fruits.
";13.5;3,2;3,24;6,5;;;;Viognier;White;Dry;Full;Fruity;
Fairview Wine & Cheese;-33,77241898;18,92377472;Fairview Roussanne 2015;2015;;"Colour: Pale yellow
Aromas: Green apple and orange blossoms
Flavour: Citrus and fruit
Food pairing ideas: Pair with seafood dishes such as crab, lobster and scallops. Also try it with roasted chicken or turkey.
";12.5%;2.2;3.27;5.4;;;;Roussanne;White;Dry;Medium;Fragrant;
Fairview Wine & Cheese;-33,77241898;18,92377472;Fairview Pinotage 2015;2015;Paarl;"Colour: Bright ruby red
Aromas: Raspberries and plum aromas with a hint of spice
Flavour: Dark fruit and clove spice
Food pairing ideas: Enjoy with beef fillet or spicy Cape Malay curries.
";14.0%;2.8;3.59;5.2;;;;Pinotage;Red;Dry;Medium;Fruity;
Fairview Wine & Cheese;-33,77241898;18,92377472;Fairview Stellenbosch Merlot 2014;2014;Stellenbosch;"Colour: Ruby red 
Aromas: Redcurrant, cinnamon spice and vanilla pod 
Flavour: Berry fruit
Food pairing ideas: Enjoy with beef fillet, lamb
";14.0%;3.1;3.59;5.8;;;;Merlot;Red;Dry;Medium;Fruity;
Fairview Wine & Cheese;-33,77241898;18,92377472;Fairview Broken Barrel 2012;2012;;The intense colour of Petite Sirah, the nobility of Tempranillo, the generous tannins of Tannat and the subtle spice of Shiraz blend together to produce a beautiful unusual wine. The nose shows elegant dark fruits and mixed spice. Full bodied palate with ;14.00;3.8;3.52;5.2;;;;Durif;Red;Dry;Medium;Fruity;
Lutzville Vineyards;0;0;Lutzville Chenin Blanc 2015;2015;Lutzville Valley;Aromatic guava and green apple aromas jump from the glass. A off dry Chenin Blanc with ripe apples, peaches and an hint of fresh lime on the palate.;13.0;6.1;;6.4;;;;Chenin Blanc;White;Off Dry;Soft;Fruity;
Lutzville Vineyards;0;0;Lutzville Sauvignon Blanc 2015;2015;Lutzville Valley;Crisp and fresh, this wine bursts with flavours of passion fruit, grapefruit and lime with a hint of freshly cut grass on the nose.;11.5;2.7;;7.6;;;;Sauvignon Blanc;White;Dry;Full;Fruity;
Lutzville Vineyards;0;0;Lutzville Chardonnay 2015;2015;Lutzville Valley;The purity of the Chardonnay fruit shines through with soft orange blossom, citrus fruit, white peach and a long crisp green apple finish.;12.0;2.5;;7.5;;;;Chardonnay;White;Dry;Full;Fruity;
Lutzville Vineyards;0;0;Lutzville Shiraz RosÃ© 2015;2015;Lutzville Valley;Bursting with raspberry and strawberry flavours this Shiraz Rose has an off dry touch to compliment the soft summer fruits and elegant acidity.;12.9;12.9;;5.5;;;;Shiraz;Rose;Semi Sweet;Full;Fruity;
Lutzville Vineyards;0;0;Lutzville Cabernet Sauvignon 2014;2014;Lutzville Valley;The rich blackberry and blackcurrant fruit flavours are complimented by soft vanilla spice and mint notes.;13.5;4.4;;5.4;;;;Cabernet Sauvignon;Red;Dry;Full;Fruity;
Lutzville Vineyards;0;0;Lutzville Merlot 2014;2014;Lutzville Valley;Plum and dark cherry flavours, mocha spice and a hint of eucalyptus make this Merlot a real crowd pleaser.;13.5;4.0;;5.4;;;;Merlot;Red;Dry;Full;Fruity;
Lutzville Vineyards;0;0;Lutzville Pinotage 2014;2014;Lutzville Valley;"With a touch of Christmas spice, this soft and juicy Pinotage is a real delight with raspberry, plum and blackberry flavours.&nbsp;";13.5;3.4;;5.2;;;;Pinotage;Red;Dry;Full;Fruity;
Lutzville Vineyards;0;0;Lutzville Shiraz 2014;2014;Lutzville Valley;Bursting with dark berry flavours of blackberry, dark cherry and plum, this Shiraz has soft and supple tannins and a white pepper finish.;13.5;3.7;;5.2;;;;Shiraz;Red;Dry;Full;Fruity;
Lutzville Vineyards;0;0;Lutzville Diamond Collection Sauvignon Blanc 2014;2014;Lutzville Valley;Bursting with passion fruit and subtle grass notes aromas, the palate has a vibrant texture with flavours of grapefruit peel, limes, passion fruit and a touch of green fig.;12.0;6.5;;6.7;;;;Sauvignon Blanc;White;Dry;Full;Fruity;
Lutzville Vineyards;0;0;Lutzville Diamond Collection Cabernet Sauvignon 2013;2013;Lutzville Valley;Full and complex with soft blackberry aromas, this Cabernet Sauvignon has firm, juicy tannins, blackcurrant, plum and vanilla spice with a long elegant finish.;14.0;2.7;;5.1;;;;Cabernet Sauvignon;Red;Dry;Full;Fragrant;
Lutzville Vineyards;0;0;Lutzville Diamond Collection Shiraz 2013;2013;Lutzville Valley;Full and complex with typical spicy pepper, mocha and blackberry flavours. Its ripe but firm tannins give the wine structure and its delicious long finish provides the elegance.;14.0;3.2;;6.2;;;;Shiraz;Red;Dry;Full;Fruity;
Lutzville Vineyards;0;0;Lutzville Diamond Collection Ebenhaeser 2013;2013;Lutzville Valley;Full and complex with soft red plums, blackberry, vanilla spice and complimented by ripe juicy tannins. The finish is suitably long and complex with a hint of roasted coffee on the finish.;14.0;3.0;;6.5;;;;Pinotage;Red;Dry;Full;;
Vrede en Lust;-33,83742142;18,95319939;Vrede en Lust Artisan Riesling 2015;2015;Elgin;A fresh and textural wine, this puts a spicy spin on citrus rind and white stone fruit with an overall sensation of density and intensity.;13.5;2.5;3.36;5.5;;;;Riesling;White;Semi Sweet;;;
Vrede en Lust;-33,83742142;18,95319939;Vrede en Lust Artisan Semillon 2014;2014;Elgin;Delicious crisp palate with limey fruit, hints of papaya and a balanced mid-palate. This wine is youthful and showcases the versatility of Semillon and should age well.;11.77;2.5;3.35;7.1;;;;Semillon;White;Dry;;;
Vrede en Lust;-33,83742142;18,95319939;Vrede en Lust Artisan Shiraz / Cabernet 2012;2012;Simonsberg-Paarl;The Shiraz shows spice and an upfront fruit character, which is well balanced by the typical Cabernet berry aromas. The Ricton fruit contributes more spice and more primary fruit, while Block 5 contribute violets and the tannin structure.;14.3;2.2;3.57;5.3;;;;Shiraz;Red;Dry;;;
Vrede en Lust;-33,83742142;18,95319939;Vrede en Lust CÃ´tes de Savoye 2014;2014;Western Cape;An elegantly styled wine with aromas of violets, concentrated red fruit followed through with a soft, juicy palate and well rounded tannins.;13.54;2.4;3.5;5.3;;;;Shiraz;Red;Dry;;;
Vrede en Lust;-33,83742142;18,95319939;Vrede en Lust Casey's Ridge Sauvignon Blanc 2015;2015;Elgin;The Sauvignon Blanc shows typical cooler climate aromas with flint notes and an abundance of flavours including grass, granadilla, gooseberry and hints of blackcurrant. The wine is perfectly balanced with intense minerality and a smooth finish.;13.5;1.9;3.3;6.3;;;;Sauvignon Blanc;White;Dry;Medium;Mineral;
Vrede en Lust;-33,83742142;18,95319939;Vrede en Lust Early Mist Riesling 2015;2015;Elgin;The Riesling is an elegantly styled and fragrant wine wih notes of honey and minerals followed by lingering citrus flavours.;12.5;12.0;3.24;6.7;;;;Riesling;White;Semi Sweet;;;
Vrede en Lust;-33,83742142;18,95319939;Vrede en Lust Jess Dry RosÃ© 2015;2015;Simonsberg-Paarl;The Jess displays aromas of fresh strawberry, raspberry and watermelon fruit with floral notes and a smooth finish.;13.1;2.7;3.24;6.7;;;;Pinotage;Rose;Dry;Light;Fruity;
Vrede en Lust;-33,83742142;18,95319939;Vrede en Lust The Red Lady 2015;2015;Western Cape;The delicacy of the red fruit aroma of Merlot will entice your nose and palate.;13.5;5.8;3.55;5.5;;;;Merlot;Red;Dry;;Fruity;
Vrede en Lust;-33,83742142;18,95319939;Vrede en Lust Marguerite Chardonnay 2014;2014;Simonsberg-Paarl;The wine shows citrus, toasted nuts and butterscotch aromas followed by a creamy, well-balanced palate with tones of almonds and pear.;13.18;1.7;3.37;6.0;;;;Chardonnay;White;Dry;Full;Fruity;
Vrede en Lust;-33,83742142;18,95319939;Vrede en Lust White Mischief 2015;2015;Elgin;An abundance of tropical fruit and floral notes on the nose followed by hints of white pear and fruit salad on the palate. Soft, beautifully balanced mouth-feel.;13.0;1.7;3.38;6.4;;;;Chenin Blanc;White;Dry;;;
Vrede en Lust;-33,83742142;18,95319939;Vrede en Lust Viognier 2015;2015;Western Cape;Stone fruit aromas with hints of orange blossom on the nose. Delicate notes of spice with creaminess on the palate beautifully balanced by judicious use of oak.;14.04;4.2;3.43;5.9;;;;Viognier;White;Off Dry;Full;Fragrant;
Longridge Wine Estate;-34,01652527;18,83296967;Jasper Raats Single Vineyard Wines - Die PlÃªk Cinsault 2015;2015;;Lightly tinted and medium bodied, this wine greets you on the nose with aromatic floral notes which follow through onto the palate with ripe strawberries, cherries, sweet spices and soft tannins on the mid palate.;14.5;1.8;3.66;5.2;0.66;80;39;Cinsaut;Red;Dry;Medium;Fragrant;
Vrede en Lust;-33,83742142;18,95319939;Vrede en Lust Mocholate Malbec 2015;2015;Simonsberg-Paarl;Coffee and mocha with cherries, abundant red berries, mulberry, blackberry and an explosion of fruit on the palate make up this fun filled wine. Silky smooth. Medium bodied and produced in a youthful style.;13.5;2.4;3.61;5.4;;;;Malbec;Red;Dry;;;
Vrede en Lust;-33,83742142;18,95319939;Vrede en Lust Lady J Syrah 2012;2012;Western Cape;The Shiraz grapes from Simonsberg-Paarl showcases violet and plums, whilst the Elgin grapes brings in a darker character with spicy notes and black pepper. Smooth tannins on the palate confirms the promise of this elegant wine. Velvet textured layers foll;14.0;2.5;3.49;5.5;;;;Shiraz;Red;Dry;;;
Vrede en Lust;-33,83742142;18,95319939;Vrede en Lust Kogelberg Chenin Blanc 2014;2014;Elgin;A full-bodied wine with typical Chenin Blanc characteristics of orange peel and citrus aromas. A rich palate with hints of honey and ripe fruit â€“ the perfect food partner.;13.5;3.5;3.4;6.0;;;;Chenin Blanc;White;Dry;Full;Fruity;
Vrede en Lust;-33,83742142;18,95319939;Vrede en Lust Barrique 2014;2014;Elgin;A rich and complex wine with earthy and quince characteristics, elegantly balanced with lingering mineral notes. A classic blend of Semillon and Sauvignon Blanc makes this wine the perfect food partner.;13.5;3.3;3.15;7.0;;;;Semillon;White;Dry;Medium;Mineral;
Vrede en Lust;-33,83742142;18,95319939;Vrede en Lust Boet Erasmus 2012;2012;Simonsberg-Paarl;Very primary on the nose â€“ lifted red and black fruit, tobacco and vanilla plus a little earthiness. Full bodied with pure fruit, bright acidity and fine tannins, the finish long and savoury. Poised and understated, this has a good future ahead of it.;14.0;2.5;3.53;5.5;;;;Cabernet Sauvignon;Red;Dry;Full;Fruity;
Vrede en Lust;-33,83742142;18,95319939;Vrede en Lust Pinot Noir 2014;2014;Elgin;Ruby red colour with hints of cranberry, mulberry and a touch of tomato leaf on the nose â€“ typical of cooler climate wines. Well ripened tannins with a hint of oak and a refined finish.;14.0;2.5;3.53;5.5;;;;Pinot Noir;Red;Dry;;;
Waterkloof;-34,11371994;18,89139938;Circle of Life White 2013;2013;Stellenbosch;Lime, grapefruit and peach notes, complimented by tropical aromas. Intense flavours, with great balance. A tight mineral core and creamy middle palate allows for great complexity and a persistent finish.;14.0;4.6;3.35;6.1;;;;Sauvignon Blanc;White;Dry;;;
Ernie Els Wines;-34,01420975;18,84734917;Ernie Els Cabernet Sauvignon 2014;2014;Stellenbosch;The 2014 is a lighter vintage showing the red fruit spectrum of Cabernet Sauvignon. The nose tempts with notes of coconut, vanilla, raspberries and sweet spice. This leads to a polished, supple palate opening to hints of fine white chocolate. The richness;14.72;3.0;3.81;6.0;;;;Cabernet Sauvignon;Red;Dry;Full;Mineral;
Waterkloof;-34,11371994;18,89139938;False Bay Pinotage 2014;2014;Stellenbosch;This wine is as elegant as Pinotage can be! Rich, soft with spicy red fruits on the nose. Well balanced and rounded, it reveals juicy fruit on the palate, with a soft balanced finish. This wine is an easy drinking crowd-pleaser.;13.5;1.7;3.6;5.2;;;;Pinotage;Red;Dry;;;
Org de Rac Domain;-32,96210861;18,75005913;Org De Rac Le Piquet Blanc 2015;2015;Swartland;This eloquent blend rewards with the finest attributes of its three components. Tempting aromas of ripe stone fruit follow through on the palate where crisp minerality and lingering citrus flavours add to the fresh, lively appeal.;13.0;1.7;3.36;6.4;;87;28;Roussanne;White;Dry;;;
Waterkloof;-34,11371994;18,89139938;Peacock Wild Ferment Merlot 2014;2014;Western Cape;Lush dark red and black berry fruit, with subtle notes of tobacco and choc on the nose.  An inviting, herbaceous freshness on the palate.  A balanced wine with lovely soft integrated tannins and lingering length.;14.05;2.7;3.54;5.9;;;;Merlot;Red;Dry;Medium;Fruity;
Bellingham Wines;-33,52944183;19,01231003;The Bernard Series Organic Syrah 2013;2013;Paarl;A complex and opulent Syrah reflecting the generosity of its origins with concentrated dark berry and plum flavours, brushed with a distinctive peppery spice and indigenous wild flower notes.;14.0;4.5;3.5;5.6;;;;Shiraz;Red;Dry;;;
Bellingham Wines;-33,52944183;19,01231003;Bellingham Pinopasso 2014;2014;Coastal Region;South Africaâ€™s unique Pinotage variety made in Ripasso style as a tribute to the Italian prisoners of war who lived and worked at Bellingham. Succulent red berry and sweet spice flavours for smooth drinking.;14.0;9.0;3.5;6.0;;;;Pinotage;Red;Off Dry;;;
Bellingham Wines;-33,52944183;19,01231003;Bellingham Citrus Grove Chenin Blanc 2015;2015;Western Cape;Vibrant gold with bright green glimmers packed with punchy citrus aromas of orange, tangerine and a tropical twist of honey melon and pineapple all following through on the palate in a fresh surge of key lime and Clementine flavours brushed with mineralit;13.5;3.5;3.5;6.0;;;;Chenin Blanc;White;Dry;;Mineral;
Lourensford Wine Estate;-34,0718956;18,88870621;The River Garden Cabernet Sauvignon / Merlot 2015;2015;Western Cape;"A deep, dark red wine with blackcurrant&amp;red berry flavours which include hints of roasted coffee bean &amp; tobacco leaf. The palate is bold and refreshing with dark chocolate &amp; fruitcake nuances and an earthy, spicy elegance on the finish.";14.0;2.9;3.53;5.7;;;;Cabernet Sauvignon;Red;Dry;;Fragrant;
Beaumont Wines;-34,22542572;19,19692421;Beaumont Hope Marguerite 2015;2015;Bot River;Named after our grandmother, Hope Marguerite Beaumont, this barrel fermented and matured Chenin Blanc is always elegant and complex.;13.33;4.03;3.26;6.13;;;;Chenin Blanc;White;Dry;Medium;Fragrant;
Beaumont Wines;-34,22542572;19,19692421;Beaumont Chenin Blanc 2016;2016;Bot River;Our Chenin Blanc was made from 100% Bot River fruit, capturing the full flavour and potential that our terroir has to offer. It is a delicious example of cooler climate Chenin Blanc fermented in concrete and stainless steel tanks. Dry, fresh and delicious;13.5;2;3.4;6.0;;;;Chenin Blanc;White;Dry;Medium;Fruity;
Beaumont Wines;-34,22542572;19,19692421;Beaumont Ariane 2014;2014;Walker Bay;Dark berry fruit with an elegant oak influence on the nose.  			The palate shows dark, broody black berry fruit, hints of 				spice and firm grainy tannins.;13.8;1.8;3.58;5.9;20;;;Cabernet Sauvignon;Red;Dry;Full;;
Beaumont Wines;-34,22542572;19,19692421;Beaumont Vitruvian 2012;2012;Bot River;Slowly we are fine tuning this complex blend to produce a rich taste experience that still leaves you refreshed and wanting more.;13.74;2.2;3.44;6.0;17 - 42;;;Mourvedre;Red;Dry;;;
Beaumont Wines;-34,22542572;19,19692421;Beaumont Goutte d'Or 2015;2015;Bot River;"The Goutte D&#39;Or has gone back to being 100% Chenin Blanc Noble Late Harvest. But still in the traditionally elegant, fresh and balanced style that has become a signature of our sweet wine. Fermented and matured in barrel for 12 months to add to the co";12.97;73.4;3.23;6.9;0.80;;;Chenin Blanc;Dessert;Sticky;Medium;Fruity;
Org de Rac Domain;-32,96210861;18,75005913;Org de Rac Le Piquet Cabernet Sauvignon / Merlot 2013;2013;Swartland;An appealing blend made from Cabernet Sauvignon and Merlot for everyday drinking with ample inherent qualities. Generously weighted on the palate with well integrated oak and soft tannins supporting the delicate fruit flavor.;14.5;3.2;3.44;;;80;25;Cabernet Sauvignon;Red;;;;
Org de Rac Domain;-32,96210861;18,75005913;Org de Rac Reserve Merlot 2013;2013;Swartland;The exclusive organic reserve range is grown on the south-facing slopes of Piketberg Mountain where specially selected vines yield grapes of great distinction. Thanks to meticulous cellar practices every wine in the range is an aristocrat in its own right;14.5;2.5;3.44;5.8;;53;12;Merlot;Red;Dry;;;
Org de Rac Domain;-32,96210861;18,75005913;Org de Rac Chardonnay Reserve 2014;2014;Swartland;"A deep golden, rich honey colour with a
vivacious tint of green.
The wine has developed a voluptuous, complex nose rich in sundrenched
apricot, peach, freshly baked bread and roasted almond
complemented by a well-integrated wood character which will becom";14.0;1.9;3.39;5.6;;90;20;Chardonnay;White;Dry;;;
Lourensford Wine Estate;-34,0718956;18,88870621;The River Garden Shiraz / Cabernet Sauvignon 2014;2014;Stellenbosch;"<p><a name=""_GoBack"">A bright, dark red wine with black
cherry, plums, cinnamon spice and nutmeg flavours. The palate has a refreshing
acidity with undertones of raspberry &amp; blackberry and a savoury, mineral
finesse on the finish.</a></p>";14.0;3.5;3.50;5.7;;;;Shiraz;Red;Dry;Medium;Fruity;
Stellar Winery;-31,76950073;18,63760948;Live-a-Little Slightly Sweet and Sassy Sparkling 2015;2015;Vredendal;Muscat, strawberry and candy floss on the nose. This lovely aroma follows through on the palate and combines with pomegranate notes to create a delicious sparkling wine with a well-balanced sweet finish.;11.32;41.3;3.55;6.2;0.55;125;29;Colombard;Sparkling;Semi Sweet;Medium;Fruity;
Ken Forrester Wines;-34,02584839;18,81930923;Van Coller Reserve Viognier Chenin Roussanne 2014;2014;Stellenbosch;While the terroir expresses itself through the delicate bouquet of floral notes and citrus aromas, the unique blend of this boutique wine seduces the palate with every indulging sip.  The crisp, clean acidity with its tender peach and apricot whispers lea;13.0;2.1;3.40;5.9;;;;Viognier;White;;Soft;Fragrant;
Stellar Winery;-31,76950073;18,63760948;Running Duck Reserve Cabernet Sauvignon / Pinotage 2014;2014;Vredendal;Cigar box, vanilla and fruitcake on the nose.  Dark cherries and ripe prune and cherry tobacco on the palate.  Well integrated wood with a juicy finish.;13.15;3.9;3.6;5.8;0.5;97;29;Cabernet Sauvignon;Red;Dry;Medium;Fruity;
Stellar Winery;-31,76950073;18,63760948;Stellar Organics Chardonnay / Pinot Noir Sparkling 2015;2015;Vredendal;A classic Chardonnay-Pinot Noir sparkling wine. The palate has citrus flavours combined with a pleasant yeastiness and a hint of red fruit on the finish.;13.12;14.3;3.41;6.3;0.44;150;42;Chardonnay;Sparkling;Dry;Light;Fruity;
Ken Forrester Wines;-34,02584839;18,81930923;Ken Forrester Renegade  2012;2012;Stellenbosch;"This elegant Rh&#244;ne blend displays Old World Style with New World fruit. Hint of Grenacheâ€™s earthy rusticity and Shirazâ€™s noble spice with hints of nutmeg and salty black olive on the finish. Balanced with soft integrated tannins.";14.0;2.2;3.53;5.5;;;;Shiraz;Red;Dry;Medium;Fruity;
Stellar Winery;-31,76950073;18,63760948;Stellar Organics Extra Dry Sparkling 2015;2015;Vredendal;Grapefruit and lime on the nose. Nice acidity but not too dry. Ends with a smooth, nutty, biscuity finish.;13.17;14.3;3.46;6.3;0.41;110;29;Chenin Blanc;Sparkling;Dry;Medium;Fruity;
Stellar Winery;-31,76950073;18,63760948;Stellar Organics Limited Release No-Sulphur-Added Blanc de Blanc 2015;2015;Vredendal;A clear wine with a pineapple-yellow tinge.  A gentle and smooth entry and hints of lemon-butter on the palate combine with subtle fruit and crisp acidity to make this a very enjoyable wine.;11.85;3.61;1.6;5.2;0.48;8;0;Colombard;White;Dry;Medium;Fruity;
Stellar Winery;-31,76950073;18,63760948;Stellar Organics No Sulphur Added Cabernet Sauvignon 2015;2015;Vredendal;This wine has an intense dark ruby colour. On the nose, roasted red pepper and mint with vanilla in the background combined with dark flavours of cherry tobacco. The wine has good firm tannins and prominent acid. This combination of tannin and acid is ess;13.11;2.7;3.50;6.0;0.57;4;1;Cabernet Sauvignon;Red;Dry;Medium;Fruity;
Ken Forrester Wines;-34,02584839;18,81930923;Ken Forrester Petit Chardonnay 2015;2015;Western Cape;Aromatic layers of white peach and tropical fruit beautifully infused with kiwi. Creamy texture on the palate, complemented by a steely minerality.<br /><br />The crisp acidity ensures a long-lasting zesty lime and floral finish.;13.5;1.5;3.64;5.7;;;;Chardonnay;White;Dry;;Mineral;
Stellar Winery;-31,76950073;18,63760948;Stellar Organics No Sulphur Added Merlot 2015;2015;Vredendal;A very dark plum-red wine with a nose of mulberry and chocolate. The taste is of ripe fruit compote with vanilla. Good clean entry with soft tannins.;14.37;2.8;3.72;5.5;0.67;4;1;Merlot;Red;Dry;Medium;Fruity;
Stellar Winery;-31,76950073;18,63760948;Stellar Organics No Sulphur Added Pinotage 2015;2015;Vredendal;A dark red wine with a purple tinge. Coffee and dark chocolate on the nose. The taste has an apparent sweet entry with dark cherry tobacco. Tannins are firm, but appropriate for the NSA style.;14.56;2.6;3.59;5.5;0.57;3;0;Pinotage;Red;Dry;Medium;Fruity;
Cape Classics;-34,07189178;18,88870811;Indaba Chardonnay 2015;2015;Western Cape;Bright tropical fruit aromas lead to a crisp, fresh palate with mouth-filling flavors of apple, pear, honey and pineapple. A gentle kiss of oak adds a creamy butterscotch nuance and<br />wonderful depth. A superb value, this versatile white is a fantastic;13.0;4.3;3.56;5.55;;;;Chardonnay;White;;;;
Ken Forrester Wines;-34,02584839;18,81930923;The Gypsy 2012;2012;Western Cape;"The character is somewhat &#39;wild&#39; a little brambly with hints of nutmeg, cinnamon, dark spices, with vanilla scents and a distinct, concentrated red-fruit focus. Great for laying down and keeping for at least ten years but already rewarding if allo";14.0;2.0;3.62;5.7;;;;Grenache;Red;Dry;;;
Ken Forrester Wines;-34,02584839;18,81930923;Ken Forrester Three Halves 2011;2011;Western Cape;With much forethought and careful tasting we are constantly on the lookout for something special and unique. Iconic winemaker Ken Forrester has set his sights firmly on producing a great Mediterranean styled blend from the finest grapes available in the C;13.0;2.7;3.42;5.7;;;;Mourvedre;Red;;;;
Stellar Winery;-31,76950073;18,63760948;Stellar Organics No Sulphur Added Shiraz 2015;2015;Vredendal;This no-added-sulphur Shiraz is a rich dark colour with a dark nose of pepper and forest floor.  Dark fruit on the palate gives the wine an all-round juiciness.  Oaky tannins with a well-structured spicy finish.;14.78;3.2;3.51;5.0;0.53;0;4;Shiraz;Red;Dry;Medium;Fruity;
Stellar Winery;-31,76950073;18,63760948;Stellar Organics No-Sulphur-Added Rose 2015;2015;Vredendal;This wine has a dark pink colour with strawberries and dark cherry on the nose and mixed berry pie on the palate.;12.12;1.2;3.66;4.6;0.61;6;3;Colombard;Rose;Dry;Medium;Fruity;
Stellar Winery;-31,76950073;18,63760948;The River's End Chenin Blanc 2015;2015;Vredendal;This distinctive Chenin Blanc from the Koekenaap wine region presents with a fresh pear and honey nose following through to white pear with a citrus undertone on the palate. A well-rounded wine with a lingering creamy finish.;13.34;5.3;3.44;5.9;0.37;138;46;Chenin Blanc;White;Dry;Medium;Fruity;
Bellingham Wines;-33,52944183;19,01231003;Bellingham Homestead Chardonnay 2015;2015;Stellenbosch;Sight: Rich yellow with a copper glow. <br />Nose: Butterscotch, spicy cloves and orange peel aromas.<br />Mouth: Layers of citrus and melon on the palate finishing with a citrus-lime freshness;13.5;4.0;3.5;6.5;;;;Chardonnay;White;;;;
Longridge Wine Estate;-34,01652527;18,83296967;Longridge Ou Steen Chenin Blanc 2013;2013;Stellenbosch;Style: The style of this single vineyard Chenin Blanc was inspired by the great Vouvray Demi-Secâ€™s (literally half dry) from the Val de Loire in France. Due to the great natural acidity of Chenin Blanc (colloquially call â€˜Steenâ€™), it can result in w;14.20;16;3.23;6.7;;;;Chenin Blanc;White;;;;
Longridge Wine Estate;-34,01652527;18,83296967;Longridge Merlot 2014;2014;Stellenbosch;This vintage delivered wine with good tannin structures. Aromas of dark, red fruit compliment flavours of aniseed, cassis and mulberry.;15;2.1;3.56;5.9;;;;Merlot;Red;;;;
Stellar Winery;-31,76950073;18,63760948;The River's End Pinot Noir 2014;2014;Vredendal;The nose of forest floor, sweet cherry and candy floss opens up nicely after decanting. Subtle tannins with an elegant finish.;12.11;3.9;3.40;5.7;0.47;97;31;Pinot Noir;Red;Dry;Light;Mineral;
Stellar Winery;-31,76950073;18,63760948;The Sensory Collection Grande Reserve  Chardonnay 2014;2014;Vredendal;A classic Chardonnay. Lime and citrus notes on the nose. Velvety cream and butterscotch on the palate with hints of spice. Long, smooth finish with well-balanced acidity.;13.92;5.8;3.37;6.4;0.53;96;24;Chardonnay;White;Dry;Full;Fruity;
Stellar Winery;-31,76950073;18,63760948;The Sensory Collection Grande Reserve Pinotage 2014;2014;Vredendal;Fermented and matured in new French oak barrels for 18 months, this limited edition Grande Reserve Swartland Pinotage has a nose of fresh red cherries, wisps of cherry tobacco and pomegranate. The cherry tobacco follows through on the palate, which displa;13.51;4.2;3.56;5.4;0.77;83;32;Pinotage;Red;Dry;Full;Fruity;
De Wetshof Estate;-33,87719345;20,00977898;Limestone Hill Chardonnay 2016;2016;Robertson;<p>Heavy clay soils rich in limestone allow this Chardonnay to emit optimum varietal expression in a cloak of rich complexity. An un-wooded wine, Limestone Hill has notes of grapefruit and nuts, with the complexity balanced by a nuanced elegance ending wi;14.24;4.8;3.19;8.1;;111;42;Chardonnay;White;Dry;Full;Fruity;
Boschendal Wines;-33,88594818;18,96892548;Boschendal Classic The Rose Garden RosÃ© 2016;2016;Coastal Region;"On the Nose: Enticing crushed summer berry aromas.<br />
Palate: Soft and juicy, bouncing with succulent ripe strawberries, raspberries and mulberries tinged with a hint of spice. Finishes with great balance, freshness and fruity intensity.";13.0;4.5;3.5;5.8;;;;Cabernet Sauvignon;Rose;Dry;;;
Bouchard Finlayson;-34,3793602;19,23689079;Bouchard Finlayson Blanc de Mer 2015;2015;;Following a 25 year tradition Riesling remains the dominant component in the blend. Perhaps most noticeable is the fountain of bright tropical aromas which greets one at first contact. This followed by the gorgeous round tropical fruit bowl flavour comple;13.36;3.5;3.38;5.2;0.26;85;23;Riesling;White;Dry;Light;Fruity;
Boschendal Wines;-33,88594818;18,96892548;Boschendal Classic Blanc de Noir 2016;2016;Coastal Region;On the nose: This wine presents complex red berry fruit notes.<br />Palate: An appealing pale salmon colour leads to bright red fruit, strawberry and red berries. Good freshness, balance and drinkability. Crisp and dry, but with a pleasant hint of fruit s;13.0;3.5;3.5;6.0;;;;0;Red;;;;
